time,A_F,A_V,A_L,L_F,L_V,L_L,T_F,T_V,T_L,Action,name
620578,90,960,306,-172,935,191,87,1000,-67,0,S08
620593,90,1019,306,-154,1000,313,165,1000,-77,0,S08
620609,70,1000,297,-154,1000,313,155,1009,-97,0,S08
620625,50,1019,287,-263,898,202,233,1047,-184,0,S08
620640,50,1019,287,-263,898,202,135,1009,-29,0,S08
620656,111,1019,306,-236,990,202,116,1028,-145,0,S08
620671,111,1019,306,-218,953,222,9,1000,-97,0,S08
620687,60,980,306,-263,888,222,0,990,-126,0,S08
620703,60,980,306,-290,888,242,-9,990,-145,0,S08
620718,60,1000,326,-281,944,252,0,990,-126,0,S08
620734,80,1000,306,-254,962,232,19,990,-106,0,S08
620750,80,990,297,-236,935,202,87,1028,-135,0,S08
620765,80,960,326,-263,898,212,87,1028,-135,0,S08
620781,60,970,316,-272,907,242,77,1009,-58,0,S08
620796,111,960,306,-209,972,252,135,1009,-77,0,S08
620812,111,1019,336,-118,990,292,155,980,-38,0,S08
620828,80,990,316,-281,916,252,174,1000,-87,0,S08
620843,50,1019,306,-254,898,181,203,1047,-126,0,S08
620859,80,1019,257,-218,1009,171,145,1028,-77,0,S08
620875,111,1000,287,-218,935,232,116,1009,-116,0,S08
620890,80,980,336,-272,888,252,29,1000,-97,0,S08
620906,50,990,316,-290,907,242,19,1000,-155,0,S08
620921,50,990,316,-263,944,252,0,961,-145,0,S08
620937,101,990,287,-245,972,212,19,1028,-126,0,S08
620953,70,980,306,-254,935,222,19,1028,-126,0,S08
620968,40,990,316,-245,898,202,106,1038,-116,0,S08
620984,40,990,316,-254,907,232,135,1009,-77,0,S08
621000,90,1009,297,-181,953,242,165,971,-77,0,S08
621015,121,1000,316,-109,1009,292,145,1028,-126,0,S08
621031,90,1000,316,-254,944,242,203,1047,-165,0,S08
621046,60,1009,287,-281,898,191,203,1047,-165,0,S08
621062,70,1019,287,-227,990,181,155,1009,-58,0,S08
621078,111,1000,306,-263,944,222,77,1009,-106,0,S08
621093,60,980,326,-309,851,272,58,1000,-126,0,S08
621109,40,970,326,-336,898,262,9,971,-106,0,S08
621125,40,1000,306,-272,953,242,-19,990,-145,0,S08
621140,90,1000,306,-254,962,202,-9,980,-116,0,S08
621156,101,1000,297,-236,925,222,19,1000,-116,0,S08
621171,90,990,306,-245,907,212,58,1019,-67,0,S08
621187,80,980,316,-227,925,212,126,1047,-116,0,S08
621203,111,960,306,-190,1018,292,165,971,-38,0,S08
621218,131,1019,297,-118,972,282,145,1009,-58,0,S08
621234,90,990,306,-263,898,222,184,1038,-106,0,S08
621250,60,1009,306,-263,935,191,233,1066,-155,0,S08
621265,50,1019,267,-236,1000,202,97,1019,-67,0,S08
621281,101,1009,316,-281,916,232,135,1009,-135,0,S08
621296,70,980,316,-309,861,242,38,980,-106,0,S08
621312,30,970,336,-290,925,262,-9,971,-135,0,S08
621328,50,990,326,-272,981,242,-19,971,-126,0,S08
621343,80,1000,287,-254,953,222,-19,961,-77,0,S08
621359,101,1000,306,-236,925,202,48,1000,-135,0,S08
621375,70,990,306,-245,907,202,38,1047,-48,0,S08
621390,90,970,316,-190,888,252,165,1000,-48,0,S08
621406,111,980,306,-145,1037,262,135,1009,-67,0,S08
621421,121,1029,287,-181,972,262,165,990,-77,0,S08
621437,101,1009,287,-272,888,212,194,1038,-126,0,S08
621453,70,1009,306,-272,888,212,203,1057,-116,0,S08
621468,70,1009,287,-245,962,181,126,1000,-48,0,S08
621484,70,990,326,-272,981,242,135,1000,-116,0,S08
621500,60,980,326,-327,861,262,29,971,-97,0,S08
621515,50,980,336,-327,861,262,9,971,-135,0,S08
621531,60,1000,306,-300,944,222,-9,971,-106,0,S08
621546,101,1000,316,-245,962,232,-19,942,-67,0,S08
621562,101,1000,297,-227,925,212,29,1038,-116,0,S08
621578,80,1000,326,-227,925,212,87,1019,-77,0,S08
621593,80,960,306,-263,925,212,77,1047,-48,0,S08
621609,90,990,316,-236,925,212,155,1038,-67,0,S08
621625,131,1009,297,-163,1009,272,145,1000,-48,0,S08
621640,101,1000,306,-90,1009,282,213,1019,-126,0,S08
621656,60,1019,306,-281,907,171,203,1066,-126,0,S08
621671,50,990,287,-281,907,171,135,1019,-67,0,S08
621687,80,1019,306,-254,1000,202,87,1000,-87,0,S08
621703,90,990,336,-309,898,262,67,952,-126,0,S08
621718,30,970,356,-336,833,282,0,980,-135,0,S08
621734,50,1000,316,-309,916,282,-9,961,-126,0,S08
621750,80,980,297,-272,953,222,-29,980,-77,0,S08
621765,80,1000,306,-245,935,222,9,1028,-126,0,S08
621781,90,1000,297,-245,925,212,48,1019,-87,0,S08
621796,70,970,306,-254,907,191,106,1057,-58,0,S08
621812,101,990,326,-163,907,202,135,1019,-48,0,S08
621828,141,1019,297,-90,1064,272,174,1009,-67,0,S08
621843,90,1000,316,-209,953,303,213,1028,-116,0,S08
621859,70,1009,277,-281,888,151,213,1028,-77,0,S08
621875,70,1000,297,-254,944,171,135,1000,-77,0,S08
621890,101,990,306,-272,972,242,116,980,-97,0,S08
621906,60,960,336,-290,861,222,38,961,-126,0,S08
621921,50,990,316,-300,870,272,-29,971,-126,0,S08
621937,60,1000,297,-290,944,252,-19,980,-116,0,S08
621953,70,990,326,-227,962,232,-19,980,-116,0,S08
621968,141,990,287,-200,935,212,-38,1000,-106,0,S08
621984,111,990,306,-209,916,222,77,1009,-106,0,S08
622000,101,970,316,-236,925,212,135,1028,-67,0,S08
622015,101,980,316,-127,925,171,135,1028,-67,0,S08
622031,121,1009,316,-81,1055,282,174,1000,-67,0,S08
622046,90,1009,326,-263,935,252,174,1009,-48,0,S08
622062,50,1009,297,-300,907,181,203,1038,-116,0,S08
622078,60,1019,297,-236,962,202,116,1009,-58,0,S08
622093,80,1009,316,-281,935,222,116,1009,-58,0,S08
622109,70,950,336,-309,851,252,106,990,-97,0,S08
622125,30,990,336,-318,907,282,9,980,-126,0,S08
622140,60,1009,297,-281,935,252,9,961,-126,0,S08
622156,60,1009,297,-263,962,232,-48,971,-77,0,S08
622171,70,1009,297,-236,925,222,0,1019,-116,0,S08
622187,90,1000,316,-236,907,212,38,1028,-67,0,S08
622203,101,970,316,-236,916,202,97,1047,-58,0,S08
622218,111,1000,316,-154,972,242,145,1019,-58,0,S08
622234,141,1000,336,-81,1027,323,184,1028,-58,0,S08
622250,141,1000,336,-290,879,232,223,1057,-97,0,S08
622265,70,1000,287,-290,898,191,223,1057,-97,0,S08
622281,50,1029,306,-254,990,222,155,1009,-58,0,S08
622296,90,1009,306,-281,916,252,135,1009,-106,0,S08
622312,60,970,346,-290,833,262,58,990,-97,0,S08
622328,50,980,326,-300,925,272,0,980,-126,0,S08
622343,70,990,306,-272,972,242,-19,990,-135,0,S08
622359,70,990,306,-218,944,222,-29,971,-77,0,S08
622375,101,1000,316,-200,925,202,9,1028,-106,0,S08
622390,121,990,287,-209,935,202,67,1047,-77,0,S08
622406,111,960,306,-218,935,232,126,1009,-38,0,S08
622421,90,970,316,-190,1009,242,145,1028,-29,0,S08
622437,141,980,316,-118,1000,292,165,1009,-9,0,S08
622453,101,1019,326,-290,888,242,213,1019,-58,0,S08
622468,90,990,316,-290,907,202,233,1057,-135,0,S08
622484,60,1009,277,-272,981,232,126,1019,-67,0,S08
622500,80,1009,297,-272,981,232,126,980,-77,0,S08
622515,60,980,346,-309,888,262,29,980,-77,0,S08
622531,60,1000,336,-318,842,262,9,980,-126,0,S08
622546,60,1000,336,-290,935,292,-29,961,-126,0,S08
622562,80,980,326,-236,972,242,-67,1000,-87,0,S08
622578,90,1000,306,-218,953,242,19,1019,-126,0,S08
622593,90,990,306,-218,888,222,58,1019,-48,0,S08
622609,90,990,306,-236,925,232,106,1028,-38,0,S08
622625,131,1009,287,-236,935,191,145,1000,-48,0,S08
622640,131,1009,287,-100,1009,323,213,980,-58,0,S08
622656,111,1009,316,-100,1009,323,213,1019,-77,0,S08
622671,90,990,316,-309,879,232,223,1047,-97,0,S08
622687,60,990,306,-254,1000,202,223,1019,-106,0,S08
622703,70,1029,316,-272,907,262,106,1000,-67,0,S08
622718,121,1000,336,-281,870,252,48,990,-116,0,S08
622734,50,980,346,-245,925,272,9,980,-116,0,S08
622750,80,990,316,-263,972,252,-48,990,-126,0,S08
622765,80,990,316,-263,972,252,-48,990,-97,0,S08
622781,80,1000,316,-218,953,242,9,1000,-77,0,S08
622796,121,980,316,-218,907,202,77,1019,-77,0,S08
622812,80,990,306,-263,925,242,97,1038,-48,0,S08
622828,70,990,326,-263,925,242,174,1009,-38,0,S08
622843,101,970,316,-163,1046,262,165,1000,-48,0,S08
622859,131,1009,297,-200,953,282,233,1028,-106,0,S08
622875,70,980,316,-318,888,212,203,1038,-106,0,S08
622890,40,990,306,-263,916,181,126,1028,-106,0,S08
622906,60,1029,306,-272,972,242,106,980,-48,0,S08
622921,111,990,336,-300,870,262,48,971,-106,0,S08
622937,50,970,346,-300,861,282,0,980,-116,0,S08
622953,60,1000,316,-254,962,252,-19,1009,-126,0,S08
622968,70,1000,306,-227,981,262,-19,1009,-126,0,S08
622984,101,1000,336,-218,925,222,-29,980,-77,0,S08
623000,111,980,306,-227,916,212,19,1028,-106,0,S08
623015,90,990,306,-254,898,202,58,1047,-87,0,S08
623031,80,980,316,-236,916,222,116,1019,-58,0,S08
623046,121,980,306,-118,1046,272,135,1028,-19,0,S08
623062,101,1019,336,-227,944,282,203,1009,-77,0,S08
623078,80,980,336,-336,851,232,223,1009,-77,0,S08
623093,50,1000,316,-272,944,202,223,1009,-97,0,S08
623109,70,1019,297,-245,972,222,145,1009,-77,0,S08
623125,101,980,326,-290,870,252,29,971,-97,0,S08
623140,70,980,356,-281,861,272,29,971,-97,0,S08
623156,70,980,316,-281,953,272,-9,990,-135,0,S08
623171,80,1000,316,-245,990,232,-38,980,-135,0,S08
623187,80,990,316,-209,925,232,-67,1009,-106,0,S08
623203,121,970,326,-236,925,232,19,1038,-87,0,S08
623218,101,990,297,-245,925,212,126,1028,-87,0,S08
623234,80,990,336,-236,944,222,145,1019,-38,0,S08
623250,90,980,326,-154,1027,282,145,1019,-38,0,S08
623265,111,1009,316,-218,953,303,184,1000,-58,0,S08
623281,90,1000,336,-309,888,242,194,1009,-67,0,S08
623296,70,990,306,-245,944,171,213,1047,-126,0,S08
623312,80,1009,297,-245,981,222,145,1000,-87,0,S08
623328,90,1000,326,-263,851,242,126,980,-77,0,S08
623343,60,990,346,-309,879,252,77,971,-97,0,S08
623359,60,980,356,-290,944,272,9,990,-135,0,S08
623375,50,1000,336,-272,981,232,-9,990,-116,0,S08
623390,90,1000,297,-209,916,222,-29,980,-106,0,S08
623406,111,1000,297,-227,935,202,19,1019,-116,0,S08
623421,70,980,316,-245,907,212,38,1019,-77,0,S08
623437,90,980,336,-227,925,242,145,1019,-87,0,S08
623453,101,990,306,-118,1037,262,165,1028,-58,0,S08
623468,111,1009,316,-218,925,323,203,1000,-38,0,S08
623484,111,1019,297,-218,925,323,203,1028,-67,0,S08
623500,50,990,346,-300,898,262,194,1038,-77,0,S08
623515,90,1009,297,-227,935,191,184,990,-77,0,S08
623531,90,990,316,-227,944,212,126,980,-38,0,S08
623546,70,970,336,-245,888,242,67,1000,-106,0,S08
623562,90,970,346,-263,925,282,48,961,-106,0,S08
623578,90,1009,336,-254,962,252,0,990,-106,0,S08
623593,80,980,316,-245,935,252,9,990,-87,0,S08
623609,101,990,326,-236,925,222,38,1028,-87,0,S08
623625,90,1009,316,-227,935,232,77,1028,-67,0,S08
623640,101,980,326,-245,944,242,116,1038,-87,0,S08
623656,121,970,326,-190,953,242,165,980,-48,0,S08
623671,121,1009,326,-154,981,303,165,1019,-67,0,S08
623687,80,980,336,-272,916,272,194,1028,-67,0,S08
623703,80,1000,326,-263,888,222,203,1000,-97,0,S08
623718,111,990,326,-218,962,222,145,990,-77,0,S08
623734,90,1000,336,-227,916,232,126,980,-97,0,S08
623750,101,990,316,-254,898,222,87,980,-87,0,S08
623765,90,980,326,-245,953,252,48,1009,-116,0,S08
623781,101,990,306,-200,962,242,19,1009,-116,0,S08
623796,131,990,316,-200,944,222,77,1009,-116,0,S08
623812,111,970,306,-209,916,212,67,1047,-77,0,S08
623828,111,980,306,-236,925,212,135,1009,-58,0,S08
623843,111,980,326,-218,944,212,174,1000,-87,0,S08
623859,131,990,326,-181,1000,292,184,980,-48,0,S08
623875,111,1019,297,-172,981,323,213,1019,-77,0,S08
623890,80,1000,336,-263,907,262,233,1019,-77,0,S08
623906,101,1009,316,-218,925,202,233,1038,-126,0,S08
623921,131,1000,306,-181,962,222,155,980,-58,0,S08
623937,131,990,316,-218,925,262,135,980,-97,0,S08
623953,121,960,336,-218,935,232,67,980,-106,0,S08
623968,101,970,336,-190,944,262,38,961,-97,0,S08
623984,121,1000,306,-190,953,262,48,1000,-58,0,S08
624000,131,960,326,-190,898,262,77,1009,-77,0,S08
624015,101,960,336,-227,888,252,106,1000,-58,0,S08
624031,80,990,326,-272,916,262,155,1000,-58,0,S08
624046,90,1000,306,-245,925,232,203,971,-48,0,S08
624062,141,1000,297,-127,1027,252,203,990,-58,0,S08
624078,121,990,336,-154,944,303,223,1019,-97,0,S08
624093,101,970,336,-245,898,242,203,1019,-87,0,S08
624109,80,1009,306,-245,944,212,184,1028,-87,0,S08
624125,111,1000,306,-218,935,242,126,1000,-87,0,S08
624140,121,980,316,-236,898,262,106,1000,-97,0,S08
624156,101,970,346,-236,935,262,67,990,-106,0,S08
624171,101,960,336,-218,953,262,29,980,-106,0,S08
624187,101,1000,316,-227,925,262,58,990,-106,0,S08
624203,111,990,306,-245,925,242,58,1009,-67,0,S08
624218,111,970,316,-245,907,222,116,1000,-67,0,S08
624234,101,970,326,-236,916,242,145,1000,-87,0,S08
624250,121,1000,306,-154,925,212,203,1000,-77,0,S08
624265,141,1019,297,-63,1037,282,194,1000,-29,0,S08
624281,121,990,316,-181,953,282,213,1019,-116,0,S08
624296,121,990,316,-181,953,282,213,1019,-116,0,S08
624312,90,1000,306,-263,888,232,184,1038,-77,0,S08
624328,90,1000,306,-236,944,232,194,1019,-87,0,S08
624343,131,960,316,-209,944,232,135,980,-106,0,S08
624359,131,960,316,-227,907,262,77,971,-106,0,S08
624375,90,980,336,-218,907,282,48,961,-126,0,S08
624390,101,990,346,-245,944,272,48,961,-97,0,S08
624406,101,970,326,-236,907,262,77,1019,-87,0,S08
624421,101,970,326,-227,916,242,126,1019,-58,0,S08
624437,111,980,306,-227,916,242,165,1028,-48,0,S08
624453,101,970,316,-227,944,232,184,1009,-67,0,S08
624468,151,960,316,-145,990,272,203,1009,-58,0,S08
624484,121,990,316,-118,972,323,184,1038,-67,0,S08
624500,101,1009,336,-245,925,242,184,1047,-97,0,S08
624515,80,1019,316,-263,916,252,155,1000,-77,0,S08
624531,111,990,346,-236,972,252,116,980,-87,0,S08
624546,111,990,346,-227,898,262,116,980,-87,0,S08
624562,111,970,346,-254,916,272,87,980,-116,0,S08
624578,90,980,316,-227,935,282,58,942,-87,0,S08
624593,121,960,346,-227,944,282,29,971,-106,0,S08
624609,90,990,336,-218,916,262,67,990,-97,0,S08
624625,90,990,336,-227,898,232,97,1009,-38,0,S08
624640,111,980,316,-236,925,252,135,1028,-58,0,S08
624656,90,980,346,-209,935,242,194,1028,-87,0,S08
624671,131,970,326,-118,1018,262,184,980,-48,0,S08
624687,121,990,306,-190,953,303,223,971,-77,0,S08
624703,70,1019,336,-290,898,252,184,1028,-97,0,S08
624718,50,1019,297,-263,944,212,194,1028,-106,0,S08
624734,90,990,306,-218,953,222,97,1019,-29,0,S08
624750,90,970,336,-218,907,272,106,1019,-135,0,S08
624765,70,990,346,-200,944,262,38,961,-87,0,S08
624781,90,1000,316,-236,953,292,19,980,-116,0,S08
624796,111,950,326,-236,935,272,29,1000,-106,0,S08
624812,90,960,346,-218,888,232,67,1009,-58,0,S08
624828,101,990,346,-236,916,232,67,1028,-58,0,S08
624843,101,980,336,-272,916,242,145,1009,-67,0,S08
624859,101,980,336,-218,972,292,155,980,-38,0,S08
624875,121,980,326,-172,972,292,184,990,-58,0,S08
624890,90,1000,326,-263,907,272,184,1009,-106,0,S08
624906,60,1000,326,-272,916,232,174,1028,-106,0,S08
624921,101,1019,297,-245,972,222,116,1009,-77,0,S08
624937,111,980,326,-227,898,252,106,1019,-106,0,S08
624953,101,970,346,-254,907,262,67,1000,-87,0,S08
624968,80,980,356,-218,962,252,29,1000,-97,0,S08
624984,90,1000,346,-209,962,292,29,1000,-106,0,S08
625000,101,990,306,-200,898,272,77,1009,-97,0,S08
625015,101,960,336,-236,898,252,97,1019,-48,0,S08
625031,90,990,316,-263,925,232,126,1028,-97,0,S08
625046,101,990,326,-236,935,252,155,990,-29,0,S08
625062,121,980,336,-154,1009,292,174,1000,-48,0,S08
625078,111,1009,326,-172,944,303,184,1019,-106,0,S08
625093,80,990,336,-300,916,252,194,1009,-77,0,S08
625109,60,1019,316,-236,907,191,165,1047,-97,0,S08
625125,101,990,316,-209,944,232,116,1000,-29,0,S08
625140,101,1009,326,-245,898,252,106,990,-97,0,S08
625156,90,980,326,-245,907,272,38,990,-97,0,S08
625171,70,970,326,-245,907,272,48,971,-116,0,S08
625187,80,1000,316,-236,925,242,38,980,-106,0,S08
625203,111,980,316,-236,925,242,48,1019,-97,0,S08
625218,90,980,336,-218,907,252,116,1028,-77,0,S08
625234,80,980,336,-245,907,252,126,1009,-29,0,S08
625250,111,960,336,-254,925,272,165,1009,-77,0,S08
625265,111,1000,346,-154,962,252,155,1009,-67,0,S08
625281,111,1019,306,-118,972,303,165,1038,-97,0,S08
625296,80,1019,297,-236,935,242,155,1057,-97,0,S08
625312,70,1009,306,-254,925,191,135,1028,-77,0,S08
625328,111,990,326,-218,944,232,106,1009,-87,0,S08
625343,90,980,336,-263,925,252,77,980,-116,0,S08
625359,60,980,346,-254,898,272,48,980,-106,0,S08
625375,70,980,346,-245,944,272,9,980,-116,0,S08
625390,90,990,326,-245,953,262,58,980,-106,0,S08
625406,111,970,336,-227,907,272,67,1009,-77,0,S08
625421,80,980,326,-254,916,222,67,1009,-77,0,S08
625437,80,1009,336,-245,907,222,145,1019,-67,0,S08
625453,121,970,316,-236,944,222,126,1009,-38,0,S08
625468,131,1000,316,-127,1027,262,203,1000,-67,0,S08
625484,101,1000,326,-127,981,292,165,1038,-106,0,S08
625500,80,970,326,-281,898,242,203,1028,-87,0,S08
625515,80,1019,306,-254,925,212,135,1038,-67,0,S08
625531,121,980,346,-218,962,232,145,1000,-87,0,S08
625546,90,990,346,-272,879,272,97,961,-77,0,S08
625562,70,1000,316,-290,907,282,48,980,-106,0,S08
625578,60,990,326,-272,953,282,29,980,-126,0,S08
625593,111,1000,306,-236,953,252,19,971,-106,0,S08
625609,111,950,326,-209,907,242,67,971,-106,0,S08
625625,101,970,336,-236,898,232,77,1028,-87,0,S08
625640,90,980,336,-245,916,222,165,1000,-67,0,S08
625656,121,970,326,-154,916,171,155,980,-19,0,S08
625671,121,1019,297,-72,1018,303,194,980,-58,0,S08
625687,70,990,336,-209,925,292,194,1019,-106,0,S08
625703,60,990,326,-300,888,232,184,1038,-77,0,S08
625718,60,1029,297,-254,972,222,194,1038,-126,0,S08
625734,101,1000,326,-209,935,242,135,990,-58,0,S08
625750,90,980,326,-245,898,252,67,1000,-106,0,S08
625765,90,980,326,-254,916,272,38,990,-126,0,S08
625781,90,990,316,-227,962,252,9,980,-106,0,S08
625796,101,980,306,-190,935,252,29,990,-116,0,S08
625812,111,960,326,-190,916,242,58,1028,-77,0,S08
625828,111,960,326,-227,888,232,97,1028,-58,0,S08
625843,101,970,326,-236,935,262,145,1028,-58,0,S08
625859,111,1000,306,-209,990,282,174,961,-48,0,S08
625875,121,1009,297,-136,972,272,184,980,-67,0,S08
625890,121,1009,297,-263,870,242,184,1028,-106,0,S08
625906,80,990,326,-309,888,222,174,1038,-97,0,S08
625921,40,1009,306,-272,953,232,155,1000,-77,0,S08
625937,70,1029,306,-254,898,242,116,961,-67,0,S08
625953,90,1000,326,-281,888,242,58,990,-135,0,S08
625968,80,990,326,-254,953,262,48,990,-155,0,S08
625984,90,1009,316,-227,981,232,-9,971,-97,0,S08
626000,90,1009,316,-181,935,212,58,1000,-126,0,S08
626015,121,990,297,-172,916,242,67,1028,-58,0,S08
626031,101,980,297,-218,944,222,106,1038,-67,0,S08
626046,101,980,297,-136,907,202,184,1028,-77,0,S08
626062,131,980,306,-90,1055,272,135,1000,-58,0,S08
626078,121,1009,306,-200,953,282,174,1009,-87,0,S08
626093,101,1000,306,-281,898,202,203,1038,-106,0,S08
626109,70,1000,326,-272,944,191,194,1019,-97,0,S08
626125,70,1019,297,-254,916,242,194,1019,-97,0,S08
626140,90,990,336,-290,879,282,155,990,-67,0,S08
626156,80,980,336,-300,888,272,97,952,-77,0,S08
626171,60,1000,326,-300,962,252,19,961,-116,0,S08
626187,90,1000,336,-236,962,222,19,980,-106,0,S08
626203,131,970,326,-200,916,222,48,1019,-106,0,S08
626218,101,970,316,-200,907,222,67,1019,-67,0,S08
626234,101,1000,306,-209,935,222,165,1019,-67,0,S08
626250,121,970,316,-109,935,181,155,1019,-48,0,S08
626265,151,1019,306,-36,1037,292,203,990,-48,0,S08
626281,60,1019,316,-300,907,212,223,1066,-116,0,S08
626296,111,990,326,-254,925,232,145,1009,-87,0,S08
626312,80,970,326,-254,907,303,58,942,-145,0,S08
626328,80,970,316,-209,953,242,19,990,-77,0,S08
626343,121,980,316,-245,916,232,48,990,-77,0,S08
626359,80,980,316,-263,916,202,145,1028,-77,0,S08
626375,111,990,336,-36,1037,292,155,1028,-58,0,S08
626390,111,1009,316,-309,898,191,194,1000,-106,0,S08
626406,60,1019,326,-290,962,181,145,1038,-29,0,S08
626421,101,1019,297,-254,879,272,77,942,-87,0,S08
626437,101,970,326,-245,916,272,38,961,-145,0,S08
626453,70,1000,346,-245,953,282,-9,961,-126,0,S08
626468,101,980,326,-200,944,212,58,990,-97,0,S08
626484,101,980,316,-227,916,202,126,1028,-116,0,S08
626500,101,980,336,-127,907,191,184,1000,-67,0,S08
626515,101,980,316,-54,1027,343,194,990,-77,0,S08
626531,121,1009,297,-254,935,282,223,1028,-116,0,S08
626546,70,1000,336,-318,888,202,213,1038,-116,0,S08
626562,60,990,316,-281,962,191,194,1019,-77,0,S08
626578,111,1000,316,-254,879,262,67,980,-106,0,S08
626593,121,990,326,-254,935,282,19,980,-145,0,S08
626609,90,960,336,-254,972,272,-9,990,-97,0,S08
626625,70,1000,346,-218,953,232,9,1000,-87,0,S08
626640,111,1000,316,-190,925,232,48,1019,-87,0,S08
626656,121,970,297,-236,935,202,97,1028,-77,0,S08
626671,101,990,316,-227,925,222,155,1028,-67,0,S08
626687,111,980,316,-163,990,252,145,990,-19,0,S08
626703,141,960,316,-163,990,252,145,990,-19,0,S08
626718,151,1019,277,-27,1055,292,233,1019,-106,0,S08
626734,90,1009,336,-290,907,282,213,1019,-77,0,S08
626750,70,1019,316,-336,888,191,213,1057,-87,0,S08
626765,70,990,316,-254,953,202,184,1047,-97,0,S08
626781,70,990,316,-236,916,232,126,990,-58,0,S08
626796,101,1009,326,-236,916,232,126,990,-58,0,S08
626812,101,990,326,-245,879,272,77,971,-116,0,S08
626828,101,980,346,-245,935,272,19,971,-135,0,S08
626843,101,980,346,-245,935,272,19,971,-135,0,S08
626859,90,980,326,-236,981,262,-19,980,-106,0,S08
626875,101,970,306,-200,925,232,0,990,-97,0,S08
626890,121,980,336,-209,907,232,58,1009,-126,0,S08
626906,121,980,336,-209,907,232,58,1009,-126,0,S08
626921,101,980,306,-236,916,202,87,1009,-67,0,S08
626937,90,960,326,-281,916,202,135,1009,-29,0,S08
626953,101,980,326,-163,907,191,174,1009,-38,0,S08
626968,101,980,326,-163,907,191,174,1009,-38,0,S08
626984,141,980,326,-27,1027,343,203,980,-58,0,S08
627000,80,1009,336,-263,925,282,203,1009,-87,0,S08
627015,70,1029,326,-336,851,232,174,1047,-97,0,S08
627031,50,1000,297,-336,851,232,203,1038,-126,0,S08
627046,50,1000,297,-290,972,222,203,1038,-126,0,S08
627062,101,1009,316,-190,935,222,97,1019,-48,0,S08
627078,141,990,326,-209,898,262,97,1000,-106,0,S08
627093,111,970,326,-218,944,272,48,971,-126,0,S08
627109,80,1000,336,-218,944,272,-29,1009,-116,0,S08
627125,80,1000,336,-236,981,272,0,1000,-106,0,S08
627140,90,1000,306,-218,944,222,0,1000,-106,0,S08
627156,111,980,326,-227,907,212,19,1009,-77,0,S08
627171,121,980,316,-227,925,212,48,1009,-38,0,S08
627187,80,970,316,-272,935,202,155,1019,-77,0,S08
627203,80,970,316,-272,935,202,174,980,-38,0,S08
627218,101,980,306,-172,962,252,194,1000,-38,0,S08
627234,121,990,326,-54,1018,343,194,1000,-38,0,S08
627250,101,1000,336,-281,888,282,233,1028,-77,0,S08
627265,101,1000,316,-272,898,171,262,1057,-126,0,S08
627281,90,1019,287,-227,962,212,165,1009,-58,0,S08
627296,101,1000,316,-227,962,212,135,990,-87,0,S08
627312,121,970,356,-236,916,252,58,961,-106,0,S08
627328,80,990,346,-254,916,252,9,1000,-116,0,S08
627343,80,990,346,-245,944,292,9,1000,-116,0,S08
627359,60,1000,316,-236,925,272,-29,1000,-116,0,S08
627375,101,990,306,-218,916,262,0,990,-106,0,S08
627390,90,980,306,-227,898,222,29,1019,-77,0,S08
627406,121,980,306,-254,916,242,77,1009,-87,0,S08
627421,70,980,326,-254,916,242,126,990,-38,0,S08
